Theta;I
3.0000;80
3.0200;84
3.0400;84
3.0600;74
3.0800;68
3.1000;74
3.1200;78
3.1400;86
3.1600;80
3.1800;60
3.2000;78
3.2200;62
3.2400;80
3.2600;78
3.2800;68
3.3000;62
3.3200;64
3.3400;82
3.3600;70
3.3800;50
3.4000;52
3.4200;56
3.4400;56
3.4600;62
3.4800;62
3.5000;58
3.5200;46
3.5400;46
3.5600;48
3.5800;46
3.6000;58
3.6200;58
3.6400;64
3.6600;64
3.6800;56
3.7000;44
3.7200;50
3.7400;46
3.7600;50
3.7800;66
3.8000;60
3.8200;58
3.8400;66
3.8600;52
3.8800;42
3.9000;64
3.9200;52
3.9400;46
3.9600;56
3.9800;50
4.0000;58
4.0200;46
4.0400;48
4.0600;58
4.0800;54
4.1000;38
4.1200;38
4.1400;62
4.1600;48
4.1800;36
4.2000;38
4.2200;42
4.2400;46
4.2600;38
4.2800;56
4.3000;46
4.3200;46
4.3400;40
4.3600;44
4.3800;48
4.4000;42
4.4200;34
4.4400;52
4.4600;46
4.4800;34
4.5000;36
4.5200;54
4.5400;46
4.5600;46
4.5800;40
4.6000;38
4.6200;44
4.6400;46
4.6600;48
4.6800;36
4.7000;48
4.7200;46
4.7400;42
4.7600;38
4.7800;56
4.8000;32
4.8200;50
4.8400;38
4.8600;54
4.8800;42
4.9000;32
4.9200;54
4.9400;34
4.9600;54
4.9800;52
5.0000;44
5.0200;40
5.0400;38
5.0600;30
5.0800;38
5.1000;28
5.1200;40
5.1400;46
5.1600;50
5.1800;38
5.2000;28
5.2200;42
5.2400;32
5.2600;42
5.2800;48
5.3000;42
5.3200;24
5.3400;36
5.3600;46
5.3800;46
5.4000;34
5.4200;32
5.4400;42
5.4600;44
5.4800;38
5.5000;40
5.5200;28
5.5400;36
5.5600;32
5.5800;30
5.6000;28
5.6200;34
5.6400;28
5.6600;30
5.6800;38
5.7000;40
5.7200;40
5.7400;34
5.7600;36
5.7800;42
5.8000;42
5.8200;40
5.8400;30
5.8600;30
5.8800;48
5.9000;44
5.9200;56
5.9400;36
5.9600;34
5.9800;22
6.0000;26
6.0200;28
6.0400;40
6.0600;38
6.0800;32
6.1000;32
6.1200;42
6.1400;38
6.1600;24
6.1800;52
6.2000;36
6.2200;32
6.2400;28
6.2600;32
6.2800;32
6.3000;38
6.3200;18
6.3400;26
6.3600;32
6.3800;24
6.4000;30
6.4200;26
6.4400;34
6.4600;36
6.4800;26
6.5000;36
6.5200;40
6.5400;18
6.5600;34
6.5800;40
6.6000;38
6.6200;26
6.6400;26
6.6600;20
6.6800;30
6.7000;30
6.7200;28
6.7400;22
6.7600;36
6.7800;28
6.8000;26
6.8200;28
6.8400;34
6.8600;22
6.8800;22
6.9000;26
6.9200;28
6.9400;32
6.9600;26
6.9800;32
7.0000;28
7.0200;26
7.0400;26
7.0600;24
7.0800;26
7.1000;32
7.1200;26
7.1400;22
7.1600;32
7.1800;18
7.2000;26
7.2200;28
7.2400;28
7.2600;24
7.2800;38
7.3000;24
7.3200;30
7.3400;28
7.3600;20
7.3800;30
7.4000;28
7.4200;24
7.4400;26
7.4600;28
7.4800;40
7.5000;30
7.5200;30
7.5400;24
7.5600;28
7.5800;28
7.6000;40
7.6200;30
7.6400;30
7.6600;30
7.6800;26
7.7000;24
7.7200;24
7.7400;22
7.7600;34
7.7800;40
7.8000;28
7.8200;22
7.8400;34
7.8600;36
7.8800;14
7.9000;32
7.9200;26
7.9400;24
7.9600;30
7.9800;40
8.0000;28
8.0200;34
8.0400;38
8.0600;34
8.0800;28
8.1000;24
8.1200;32
8.1400;32
8.1600;32
8.1800;20
8.2000;32
8.2200;28
8.2400;38
8.2600;34
8.2800;24
8.3000;26
8.3200;24
8.3400;30
8.3600;14
8.3800;22
8.4000;28
8.4200;34
8.4400;22
8.4600;32
8.4800;36
8.5000;28
8.5200;28
8.5400;22
8.5600;34
8.5800;30
8.6000;16
8.6200;38
8.6400;28
8.6600;36
8.6800;16
8.7000;22
8.7200;28
8.7400;26
8.7600;26
8.7800;28
8.8000;24
8.8200;28
8.8400;28
8.8600;20
8.8800;26
8.9000;18
8.9200;26
8.9400;34
8.9600;24
8.9800;32
9.0000;30
9.0200;28
9.0400;32
