Theta;I
10.0000;22
10.0200;32
10.0400;34
10.0600;34
10.0800;28
10.1000;42
10.1200;50
10.1400;40
10.1600;34
10.1800;28
10.2000;34
10.2200;36
10.2400;32
10.2600;38
10.2800;28
10.3000;28
10.3200;40
10.3400;28
10.3600;48
10.3800;46
10.4000;30
10.4200;38
10.4400;40
10.4600;30
10.4800;26
10.5000;36
10.5200;38
10.5400;26
10.5600;32
10.5800;22
10.6000;40
10.6200;32
10.6400;42
10.6600;34
10.6800;48
10.7000;44
10.7200;26
10.7400;34
10.7600;34
10.7800;28
10.8000;38
10.8200;38
10.8400;46
10.8600;32
10.8800;36
10.9000;36
10.9200;40
10.9400;22
10.9600;40
10.9800;36
11.0000;40
11.0200;38
11.0400;36
11.0600;30
11.0800;36
11.1000;42
11.1200;36
11.1400;26
11.1600;42
11.1800;54
11.2000;34
11.2200;38
11.2400;54
11.2600;32
11.2800;40
11.3000;42
11.3200;38
11.3400;42
11.3600;38
11.3800;34
11.4000;42
11.4200;28
11.4400;36
11.4600;40
11.4800;34
11.5000;40
11.5200;44
11.5400;38
11.5600;40
11.5800;46
11.6000;42
11.6200;32
11.6400;46
11.6600;50
11.6800;38
11.7000;44
11.7200;36
11.7400;42
11.7600;40
11.7800;38
11.8000;40
11.8200;28
11.8400;44
11.8600;50
11.8800;38
11.9000;24
11.9200;38
11.9400;28
11.9600;40
11.9800;48
12.0000;42
12.0200;50
12.0400;44
12.0600;52
12.0800;46
12.1000;40
12.1200;56
12.1400;44
12.1600;52
12.1800;56
12.2000;42
12.2200;42
12.2400;56
12.2600;44
12.2800;46
12.3000;42
12.3200;46
12.3400;44
12.3600;32
12.3800;42
12.4000;46
12.4200;48
12.4400;42
12.4600;46
12.4800;40
12.5000;46
12.5200;44
12.5400;38
12.5600;42
12.5800;34
12.6000;52
12.6200;42
12.6400;50
12.6600;36
12.6800;44
12.7000;40
12.7200;44
12.7400;40
12.7600;42
12.7800;46
12.8000;42
12.8200;44
12.8400;56
12.8600;44
12.8800;32
12.9000;30
12.9200;56
12.9400;46
12.9600;50
12.9800;32
13.0000;42
13.0200;38
13.0400;46
13.0600;44
13.0800;40
13.1000;46
13.1200;58
13.1400;28
13.1600;44
13.1800;42
13.2000;38
13.2200;44
13.2400;34
13.2600;46
13.2800;40
13.3000;42
13.3200;40
13.3400;32
13.3600;34
13.3800;46
13.4000;46
13.4200;40
13.4400;46
13.4600;48
13.4800;46
13.5000;56
13.5200;42
13.5400;46
13.5600;34
13.5800;44
13.6000;38
13.6200;48
13.6400;56
13.6600;44
13.6800;44
13.7000;30
13.7200;44
13.7400;42
13.7600;40
13.7800;48
13.8000;48
13.8200;40
13.8400;34
13.8600;48
13.8800;58
13.9000;42
13.9200;40
13.9400;42
13.9600;46
13.9800;56
14.0000;54
14.0200;60
14.0400;42
14.0600;48
14.0800;42
14.1000;44
14.1200;44
14.1400;42
14.1600;54
14.1800;46
14.2000;52
14.2200;46
14.2400;46
14.2600;56
14.2800;42
14.3000;42
14.3200;44
14.3400;48
14.3600;60
14.3800;44
14.4000;56
14.4200;40
14.4400;48
14.4600;62
14.4800;52
14.5000;54
14.5200;62
14.5400;58
14.5600;66
14.5800;64
14.6000;46
14.6200;54
14.6400;56
14.6600;46
14.6800;34
14.7000;46
14.7200;56
14.7400;54
14.7600;58
14.7800;48
14.8000;66
14.8200;54
14.8400;60
14.8600;62
14.8800;64
14.9000;48
14.9200;42
14.9400;48
14.9600;54
14.9800;52
15.0000;50
15.0200;58
15.0400;46
15.0600;46
15.0800;52
15.1000;56
15.1200;46
15.1400;44
15.1600;38
15.1800;56
15.2000;42
15.2200;52
15.2400;50
15.2600;48
15.2800;52
15.3000;34
15.3200;52
15.3400;68
15.3600;54
15.3800;74
15.4000;56
15.4200;52
15.4400;48
15.4600;64
15.4800;82
15.5000;52
15.5200;58
15.5400;72
15.5600;54
15.5800;40
15.6000;54
15.6200;56
15.6400;62
15.6600;44
15.6800;52
15.7000;30
15.7200;54
15.7400;66
15.7600;40
15.7800;62
15.8000;56
15.8200;70
15.8400;56
15.8600;50
15.8800;54
15.9000;56
15.9200;68
15.9400;64
15.9600;54
15.9800;76
